especie
Carpotroche brasiliensis
Lindackeria latifolia
Lindackeria pauciflora
Astronium concinnum
Astronium glaziovii
Astronium nelson-rosae
Cyrtocarpa caatingae
Spondias tuberosa
Annona burchellii
Annona leptopetala
Annona sanctae-crucis
Annona sylvatica
Duguetia duckei
Duguetia gardneriana
Duguetia lanceolata
Duguetia rotundifolia
Ephedranthus parviflorus
Guatteria australis
Guatteria notabilis
Guatteria rigida
Guatteria rupestris
Guatteria sellowiana
Oxandra reticulata
Oxandra sessiliflora
Xylopia laevigata
Xylopia nitida
Aspidosperma brasiliense
Aspidosperma dispermum
Aspidosperma flaviflorum
Aspidosperma formosanum
Aspidosperma melanocalyx
Aspidosperma occidentale
Aspidosperma refractum
Aspidosperma rizzoanum
Aspidosperma verbascifolium
Himatanthus drasticus
Tabernaemontana hystrix
Tabernaemontana laeta
Tabernaemontana salzmannii
Tabernaemontana solanifolia
Ilex auricula
Ilex cerasifolia
Ilex conocarpa
Ilex lundii
Ilex pseudobuxus
Ilex velutina
Didymopanax burchellii
Didymopanax macrocarpus
Didymopanax villosissimus
Acritopappus irwinii
Acritopappus pereirae
Acritopappus prunifolius
Acritopappus subtomentosus
Acritopappus teixeirae
Trixis pruskii
Calea bahiensis
Dendrophorbium glaziovii
Stifftia parviflora
Anteremanthus hatschbachii
Chronopappus bifrons
Chronopappus lanatus
Cyrtocymura lanuginosa
Eremanthus arboreus
Eremanthus argenteus
Eremanthus auriculatus
Eremanthus brasiliensis
Eremanthus brevifolius
Eremanthus capitatus
Eremanthus cinctus
Eremanthus crotonoides
Eremanthus elaeagnus
Eremanthus erythropappus
Eremanthus glomerulatus
Eremanthus goyazensis
Eremanthus incanus
Eremanthus polycephalus
Eremanthus reticulatus
Eremanthus syncephalus
Eremanthus uniflorus
Eremanthus veadeiroensis
Gorceixia decurrens
Heterocoma albida
Heterocoma ekmaniana
Heterocoma lanuginosa
Hololepis pedunculata
Lychnocephalus mellobarretoi
Lychnocephalus sellovii
Lychnocephalus tomentosus
Lychnophora crispa
Lychnophora diamantinana
Lychnophora ericoides
Lychnophora gardneri
